dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
20newsdist,TC-BKME-PMAL,0.6415555555555555,0.1065696317895163,0.5451700680272108,0.157743877954781
20newsdist,TC-noReliability,0.6293333333333333,0.1063074971515052,0.5310612244897959,0.1545533079095185
20newsdist,TC-noDensity,0.6743333333333332,0.0893867308627012,0.5712063492063492,0.1562052760832011
20newsdist,PMARLDS-lite,0.6663333333333332,0.0955388228243716,0.5423809523809524,0.1567662142124027
20newsdist,DISTMARGIN,0.6666666666666667,0.0835035299024708,0.5666009070294785,0.1561145320069044
20newsdist,HILB-DENSITY,0.5,0.0,0.5013945578231292,0.1495952097512781
20newsdist,DISTRAND,0.5216666666666666,0.066557781450443,0.515859410430839,0.1033866781089454
digitdist_0v1,TC-BKME-PMAL,0.991388888888889,0.0126959943133626,0.834030612244898,0.1235777001176029
digitdist_0v1,TC-noReliability,0.9936111111111112,0.0088758585048169,0.8304308390022678,0.1227078780066222
digitdist_0v1,TC-noDensity,0.9919444444444444,0.0133477930852599,0.8460147392290251,0.1235859302151948
digitdist_0v1,PMARLDS-lite,0.991388888888889,0.0114159569933525,0.830028344671202,0.123222582032904
digitdist_0v1,DISTMARGIN,0.9941666666666668,0.0107905136664194,0.8619217687074828,0.1240706240106374
digitdist_0v1,HILB-DENSITY,0.6325,0.1448767569051641,0.5170918367346938,0.117779181767255
digitdist_0v1,DISTRAND,0.9600000000000002,0.0585735793470986,0.7149943310657596,0.0974253380857408
digitdist_1v7,TC-BKME-PMAL,0.971388888888889,0.0219444444444444,0.7495578231292518,0.1231603922788053
digitdist_1v7,TC-noReliability,0.9583333333333336,0.0491439055915392,0.7483333333333335,0.1225049058068543
digitdist_1v7,TC-noDensity,0.9711111111111111,0.0233795837916675,0.7536451247165532,0.1221073061134666
digitdist_1v7,PMARLDS-lite,0.9697222222222224,0.0355392757868923,0.7415079365079364,0.1228620563354343
digitdist_1v7,DISTMARGIN,0.9544444444444444,0.0410171599139605,0.7745975056689343,0.1216343039087951
digitdist_1v7,HILB-DENSITY,0.5591666666666667,0.1155972814623314,0.515702947845805,0.1182768641132861
digitdist_1v7,DISTRAND,0.739722222222222,0.1589852563239593,0.5870634920634921,0.0959159040264785
digitdist_3v8,TC-BKME-PMAL,0.9225,0.0322856177130175,0.6936904761904762,0.1100472840853035
digitdist_3v8,TC-noReliability,0.9169444444444445,0.0470167096642706,0.6994274376417234,0.1091301439236849
digitdist_3v8,TC-noDensity,0.9191666666666668,0.0528281922957294,0.705436507936508,0.1089130481146276
digitdist_3v8,PMARLDS-lite,0.9305555555555556,0.0251538476059372,0.6929081632653061,0.1095826501399278
digitdist_3v8,DISTMARGIN,0.9094444444444446,0.0503260971006367,0.7198696145124716,0.109539713896811
digitdist_3v8,HILB-DENSITY,0.5708333333333333,0.141591755793344,0.5313718820861677,0.1083106701727956
digitdist_3v8,DISTRAND,0.5925000000000001,0.1325966337579903,0.5416326530612244,0.085485433768481
digitdist_4v9,TC-BKME-PMAL,0.9691666666666668,0.0200866179886565,0.764733560090703,0.1236503079067915
digitdist_4v9,TC-noReliability,0.9511111111111112,0.0602361607485768,0.7721145124716553,0.1236185058765113
digitdist_4v9,TC-noDensity,0.9672222222222224,0.0233663787164589,0.7691326530612245,0.1230069141741842
digitdist_4v9,PMARLDS-lite,0.9691666666666668,0.019893621410882,0.7610600907029479,0.1230240940675139
digitdist_4v9,DISTMARGIN,0.9533333333333333,0.048809910954717,0.7950793650793652,0.1216557077690959
digitdist_4v9,HILB-DENSITY,0.7013888888888892,0.1629267899668096,0.5587925170068029,0.1220273482147604
digitdist_4v9,DISTRAND,0.8136111111111112,0.1590163144825239,0.596343537414966,0.0970800498500466
digitdist_5v6,TC-BKME-PMAL,0.9655555555555556,0.0198839224090814,0.747596371882086,0.1233261742349714
digitdist_5v6,TC-noReliability,0.9533333333333333,0.051502127488119,0.7531802721088435,0.1233737379685044
digitdist_5v6,TC-noDensity,0.9647222222222224,0.0227726959100662,0.748061224489796,0.123321595871821
digitdist_5v6,PMARLDS-lite,0.965277777777778,0.0215613537448055,0.7441213151927438,0.1236616999283432
digitdist_5v6,DISTMARGIN,0.9455555555555556,0.0567129440665123,0.7719954648526078,0.1226341501716524
digitdist_5v6,HILB-DENSITY,0.6697222222222223,0.1689265765698368,0.5630555555555555,0.1219943958707153
digitdist_5v6,DISTRAND,0.7130555555555556,0.1594892020030057,0.5762698412698413,0.0968880437407642
gaussdist_equal,TC-BKME-PMAL,0.9858333333333336,0.0153382641025316,0.928452380952381,0.1089539581071585
gaussdist_equal,TC-noReliability,0.9855555555555556,0.0154560308258261,0.9261054421768709,0.1086182499304413
gaussdist_equal,TC-noDensity,0.9863888888888892,0.014024339512627,0.923356009070295,0.1081117581855505
gaussdist_equal,PMARLDS-lite,0.9858333333333336,0.0148266734945361,0.9220748299319732,0.1087097501568496
gaussdist_equal,DISTMARGIN,0.982777777777778,0.0140435829552939,0.9305385487528344,0.1085460257250815
gaussdist_equal,HILB-DENSITY,0.6633333333333333,0.1520325257597495,0.5278854875283447,0.0992105057649314
gaussdist_equal,DISTRAND,0.9819444444444444,0.0150231303144332,0.8821145124716553,0.0831680082529783
gaussdist_hard_equal,TC-BKME-PMAL,0.873611111111111,0.0422414064604043,0.7688775510204082,0.1105475379899144
gaussdist_hard_equal,TC-noReliability,0.8711111111111112,0.0389919269897035,0.7412358276643991,0.1095121462922543
gaussdist_hard_equal,TC-noDensity,0.6908333333333334,0.169075417827608,0.5850850340136055,0.1030277879536151
gaussdist_hard_equal,PMARLDS-lite,0.8697222222222223,0.0480234317807463,0.7417460317460319,0.1100545281823724
gaussdist_hard_equal,DISTMARGIN,0.8688888888888888,0.0503965754274515,0.7718197278911565,0.1095398160628974
gaussdist_hard_equal,HILB-DENSITY,0.5005555555555555,0.0038888888888888,0.5034410430839001,0.1024421458505094
gaussdist_hard_equal,DISTRAND,0.855,0.0644396549944401,0.6692403628117914,0.0850149881374091
gaussdist_hard_variable,TC-BKME-PMAL,0.8694444444444445,0.0413879567381981,0.7661507936507937,0.1112104139197617
gaussdist_hard_variable,TC-noReliability,0.855,0.0455724900773685,0.7367800453514738,0.1102147381566465
gaussdist_hard_variable,TC-noDensity,0.8744444444444447,0.0400578285685785,0.7456009070294783,0.1103281780146062
gaussdist_hard_variable,PMARLDS-lite,0.868888888888889,0.0413095809889362,0.7415532879818594,0.1099912319425493
gaussdist_hard_variable,DISTMARGIN,0.8652777777777777,0.0632973825839213,0.7649376417233559,0.1099689960759133
gaussdist_hard_variable,HILB-DENSITY,0.5086111111111111,0.0257435716535503,0.5041666666666667,0.1027531321346759
gaussdist_hard_variable,DISTRAND,0.8438888888888886,0.047104428247181,0.6644444444444445,0.0856040937267243
gaussdist_variable,TC-BKME-PMAL,0.9825000000000004,0.0175264350603859,0.9278571428571432,0.1076345437020063
gaussdist_variable,TC-noReliability,0.9819444444444444,0.0200789337427791,0.9219784580498868,0.1079132581781596
gaussdist_variable,TC-noDensity,0.9827777777777782,0.0174713168816848,0.9300396825396826,0.1069161258172243
gaussdist_variable,PMARLDS-lite,0.9836111111111112,0.0185696054592869,0.9280272108843538,0.107314922073856
gaussdist_variable,DISTMARGIN,0.9825000000000004,0.0170805101551591,0.9307256235827668,0.1071898056659847
gaussdist_variable,HILB-DENSITY,0.821111111111111,0.1494237903943092,0.5727947845804989,0.0992947800736874
gaussdist_variable,DISTRAND,0.976111111111111,0.0204199732772101,0.882278911564626,0.082748740427196
